,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,company,condition,dates_clean,approval_date,generic_name,Biosimilar or new formulation?,total_pts_rct,txt_pts_rct,placebo_pts_rct,comparator_pts_rct,NCTid_1,NCTid_2,NCTid_3,NCTid_4,NCTid_5,NCTid_6,,
1,ubrelvy,,,,,,,,,,TRUE,,,,,"Ubrelvy (ubrogepant) is a potent, orally-administered CGRP receptor antagonist for the acute treatment of migraine.",Allergan plc,Migraine,23-Dec-19,12/23/19,ubrogepant,No,2797,1675,1122,0,NCT02828020,NCT02867709,,,,,,
1,caplyta,,,,,,,,,,TRUE,,,,,Caplyta (lumateperone) is first-in-class antipsychotic for the treatment of schizophrenia.,"Intra-Cellular Therapies, Inc.",Schizophrenia,23-Dec-19,12/23/19,lumateperone,No,469,234,235,0,NCT01499563,NCT02282761,,,,,,
1,enhertu,,,,,,,,TRUE,,,,,,,Enhertu (fam-trastuzumab deruxtecan-nxki) is a HER2-directed antibody and topoisomerase inhibitor conjugate indicated for the treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received two or more prior anti-HER2-based regimens in the metastatic setting.,"AstraZeneca and Daiichi Sankyo Company, Limited",Breast Cancer,20-Dec-19,12/20/19,fam,No,184,184,0,0,NCT03248492,,,,,,,
1,dayvigo,,,,,,,,,,TRUE,,,,,Dayvigo (lemborexant) is dual orexin receptor antagonist (DORA) for the treatment of insomnia.,"Eisai Co., Ltd.",Insomnia,20-Dec-19,12/20/19,lemborexant,No,1714,1181,533,0,NCT02952820,NCT02783729,,,,,,
1,Padcev,,,,,,,,TRUE,,,,,,,Padcev (enfortumab vedotin-ejfv) is a Nectin-4 targeted antibody-drug conjugate (ADC) for the treatment of patients with locally advanced or metastatic urothelial cancer.,Astellas Pharma Inc.,Urothelial Carcinoma,18-Dec-19,12/18/19,enfortumab vedotin-ejfv,No,125,125,0,0,NCT0321933,,,,,,,
1,Aralzo,,,,TRUE,,,,,,,,,,,Arazlo (tazarotene) is a lotion formulation of the approved retinoid tazarotene for the topical treatment of acne vulgaris in patients 9 years of age and older.,Bausch Health Companies Inc.,Acne,18-Dec-19,12/18/19,tazarotene,No,1614,799,815,0,NCT03168321,NCT03168334,,,,,,
1,Vyondys 53,,,,,,,,,TRUE,,,,,,Vyondys 53 (golodirsen) is a phosphordiamidate morpholino oligimer for the treatment of Duchenne muscular dystrophy (DMD) in patients with a confirmed mutation amenable to exon 53 skipping.,"Sarepta Therapeutics, Inc.",Duchenne Muscular Dystrophy,12-Dec-19,12/12/19,golodirsen,No,25,25,0,0,NCT02310906,,,,,,,
1,Oxbryta,,TRUE,,,,,,,,,,,,,"Oxbryta (voxelotor) is an oral, HbS (sickle hemoglobin) polymerization inhibitor for the treatment of patients with sickle cell disease (SCD).","Global Blood Therapeutics, Inc.",Sickle Cell Anemia,25-Nov-19,11/25/19,voxelotor,No,182,91,91,0,NCT03036813,,,,,,,
1,Xcopri,,,,,,,,,,TRUE,,,,,Xcopri (cenobamate) is an antiepileptic drug for the treatment of partial-onset seizures in adult patients.,"SK Life Science, Inc.",Seizures,21-Nov-19,11/21/19,cenobamate,No,655,441,214,0,NCT01866111,NCT01397968,,,,,,
1,Givlaari,TRUE,,,,,,,,,,,,,,Givlaari (givosiran) is an aminolevulinate synthase 1-directed small interfering RNA (siRNA) indicated for the treatment of adults with acute hepatic porphyria (AHP).,"Alnylam Pharmaceuticals, Inc.",Acute Hepatic Porphyria,20-Nov-19,11/20/19,givosiran,No,94,48,46,0,NCT03338816,,,,,,,
