ActiveIngredient,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,SubmissionsPublicNotes,ReviewPriority,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,dates,company,condition,dates_clean,approval_date,generic_name,generic_name_fw
POLIDOCANOL,ORIG,1,AP,2010-03-30T00:00:00Z,NA,STANDARD,asclera,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Asclera (polidocanol) is a sclerosing agent used for the treatment of varicose veins.,"March 30, 2010",Chemische Fabrik Kreussler & Co.,Varicose Vein,"March 30, 2010",2010-03-30,polidocanol,polidocanol
LUCINACTANT,ORIG,1,AP,2012-03-06T00:00:00Z,NA,STANDARD,surfaxin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Surfaxin (lucinactant) is a synthetic, peptide-containing surfactant indicated for the prevention of respiratory distress syndrome (RDS) in premature infants.","March 6, 2012","Discovery Laboratories, Inc.",Respiratory Distress Syndrome,"March 6, 2012",2012-03-06,lucinactant,lucinactant
DEFERIPRONE,ORIG,1,AP,2011-10-14T00:00:00Z,NA,STANDARD,ferriprox,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Ferriprox (deferiprone) is an iron chelator indicated for the treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate.,"October 14, 2011",ApoPharma Inc.,Hemosiderosis,"October 14, 2011",2011-10-14,deferiprone,deferiprone
DALBAVANCIN HYDROCHLORIDE,ORIG,1,AP,2014-05-23T00:00:00Z,NA,PRIORITY,dalvance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Dalvance (dalbavancin) is a second generation lipoglycopeptide antibiotic for the treatment of adult patients with complicated skin and skin structure infections, including those caused by
methicillin-resistant Staphylococcus aureus (MRSA).","May 23, 2014","Allergan, Inc.",Skin and Structure Infection,"May 23, 2014",2014-05-23,dalbavancin,dalbavancin
ISTRADEFYLLINE,ORIG,1,AP,2019-08-27T00:00:00Z,NA,STANDARD,nourianz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nourianz (istradefylline) is an adenosine A2A receptor antagonist indicated for use as an adjunctive treatment to levodopa/carbidopa in adult patients with Parkinson’s disease (PD) experiencing “OFF” episodes.,"August 27, 2019","Kyowa Kirin, Inc.",Parkinson's Disease,"August 27, 2019",2019-08-27,istradefylline,istradefylline
ALCAFTADINE,ORIG,1,AP,2010-07-28T00:00:00Z,NA,STANDARD,lastacaft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,Lastacaft (alcaftadine ophthalmic solution) is a topical H1 histamine receptor antagonist indicated for the prevention of itching associated with allergic conjunctivitis.,"July 28, 2010","Allergan, Inc.",Allergic Conjunctivitis,"July 28, 2010",2010-07-28,alcaftadine ophthalmic solution,alcaftadine
ICATIBANT ACETATE,ORIG,1,AP,2011-08-25T00:00:00Z,NA,PRIORITY,firazyr,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Firazyr (icatibant) is a selective B2 bradykinin receptor antagonist indicated for the treatment of acute attacks of hereditary angioedema.,"August 25, 2011",Shire plc,Angioedema,"August 25, 2011",2011-08-25,icatibant,icatibant
SUGAMMADEX SODIUM,ORIG,1,AP,2015-12-15T00:00:00Z,NA,PRIORITY,bridion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Bridion (sugammadex) is a novel selective relaxant binding agent (SRBA) for the reversal of neuromuscular blockade induced by rocuronium or vecuronium.,"December 15, 2015","Merck & Co., Inc.",Reversal of Nondepolarizing Muscle Relaxants,"December 15, 2015",2015-12-15,sugammadex,sugammadex
"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED",ORIG,1,AP,2013-10-03T00:00:00Z,NA,STANDARD,duavee,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duavee (bazedoxifene and conjugated estrogens) is an estrogen
agonist/antagonist and conjugated estrogens combination indicated for the treatment of moderate to severe vasomotor symptoms associated with menopause, and prevention of postmenopausal osteoporosis in women with an intact uterus.","October 3, 2013",Pfizer Inc.,"Postmenopausal Symptoms, Prevention of Osteoporosis","October 3, 2013",2013-10-03,bazedoxifene and conjugated estrogens,bazedoxifene
DALFAMPRIDINE,ORIG,1,AP,2010-01-22T00:00:00Z,NA,PRIORITY,ampyra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampyra (dalfampridine) is an oral potassium channel blocker indicated to improve walking ability in people with multiple sclerosis.,"January 22, 2010","Acorda Therapeutics, Inc.",Multiple Sclerosis,"January 22, 2010",2010-01-22,dalfampridine,dalfampridine
