,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,company,condition,dates_clean,approval_date,generic_name,Biosimilar or new formulation?,total_pts_rct,txt_pts_rct,placebo_pts_rct,comparator_pts_rct,NCTid_1,NCTid_2,NCTid_3,NCTid_4,NCTid_5,NCTid_6,,
,Amevive,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Amevive (alefacept) is a selective immunomodulating antipsoriatic agent used to treat moderate to severe chronic plaque psoriasis. ,"Biogen, Inc",Psoriasis,30-Jan-03,1/30/03,alefacept,,,,,,,,,,,,,
,Alimta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Alimta (pemetrexed) is an antifolate antineoplastic agent indicated for the treatment of malignant pleural mesothelioma and locally-advanced and metastatic non-small cell lung cancer (NSCLC).,Eli Lilly,"Malignant Pleural Mesothelioma, Non-Small Cell Lung Cancer",4-Feb-04,2/4/04,pemetrexed,,,,,,,,,,,,,
,Orthovisc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orthovisc is a highly purified, high molecular weight form of hyaluronic acid used for treating pain in patients suffering from osteoarthritis (OA) of the knee who have failed to respond adequately to conservative non-pharmacologic therapy and to simple analgesics.","Anika Therapeutics, Inc.",Osteoarthritis,4-Feb-04,2/4/04,OA,,,,,,,,,,,,,
,Fazaclo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazaclo is an orally disintegrating atypical antipsychotic indicated for the treatment of schizophrenia.,Alamo Pharmaceuticals,Schizophrenia,9-Feb-04,2/9/04,NA,,,,,,,,,,,,,
,EstroGel,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"EstroGel (estradiol) is transdermal gel estrogen therapy for the treatment of moderate to severe vasomotor symptoms, as well as vulvar and vaginal atrophy associated with the menopause.",Solvay Pharmaceuticals,Postmenopausal Symptoms,9-Feb-04,2/9/04,estradiol,,,,,,,,,,,,,
,Rhophylac,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhophylac (Rh0(D) immune globulin intravenous (human)) is indicated for the suppression of rhesus (Rh) isoimmunization in pregnancy, obstetric conditions and incompatible transfusions, and the treatment of immune thrombocytopenic purpura.","ZLB Bioplasma AG, Switzerland",Prevention of Rho(D) Sensitization,12-Feb-04,2/12/04,D,,,,,,,,,,,,,
,Erbitux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erbitux is epidermal growth factor receptor (EGFR) antagonist indicated for the treatment of colorectal cancer and Head and Neck Cancer.,ImClone,"Colorectal Cancer, Head and Neck Cancer",12-Feb-04,2/12/04,EGFR,,,,,,,,,,,,,
,Avastin,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Avastin (bevacizumab) is a recombinant humanized monoclonal IgG1 antibody for the treatment of colorectal cancer, non-small cell lung cancer, glioblastoma, renal cell carcinoma, cervical cancer, ovarian cancer, fallopian tube cancer, and peritoneal cancer.","Genentech, Inc.","Colorectal Cancer, Non-Small Cell Lung Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer",26-Feb-04,2/26/04,bevacizumab,,,,,,,,,,,,,
,Myfortic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myfortic is an enteric-coated formulation of mycophenolic acidfor use in combination with cyclosporine and corticosteroids toprevent organ rejection in kidney transplant patients.",Novartis Pharma AG,Organ Transplant -- Rejection Prophylaxis,27-Feb-04,2/27/04,NA,,,,,,,,,,,,,
,Clarinex-D 24 Hour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,Clarinex-D 24 Hour (desloratadine and pseudoephedrine sulfate) is a once-daily antihistamine and decongestant for the relief of the symptoms of seasonal allergic rhinitis.,Schering-Plough Corporation,Allergic Rhinitis,3-Mar-05,3/3/05,desloratadine and pseudoephedrine sulfate,,,,,,,,,,,,,
